anxiety_level,self_esteem,mental_health_history,depression,headache,blood_pressure,sleep_quality,breathing_problem,noise_level,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,target,mental_health_score,physical_score,environment_score,social_score
13,25,1,10,2,1,2,2,2,2,2,3,3,2,3,2,2,3,3,2,1,12.25,1.75,2.25,2.5
19,11,1,25,4,3,1,5,5,1,1,2,1,4,2,4,1,5,5,5,2,14.0,3.25,2.25,4.0
1,25,0,3,1,2,5,1,1,4,5,4,4,1,4,1,3,1,2,1,0,7.25,2.25,3.5,1.75
15,10,1,17,4,3,1,5,5,1,1,2,1,5,1,4,1,5,4,5,2,10.75,3.25,2.25,3.75
7,27,0,0,1,2,4,2,2,3,5,4,4,1,4,1,3,2,1,1,0,8.5,2.25,3.5,1.75
19,14,1,24,3,3,1,3,4,1,1,1,1,5,2,4,1,5,5,4,2,14.5,2.5,1.75,3.75
15,0,1,25,5,3,1,5,4,2,2,2,2,5,2,5,1,4,5,4,2,10.25,3.5,2.5,3.5
17,14,1,20,5,3,1,5,3,2,1,2,1,3,2,4,1,4,5,5,2,13.0,3.5,2.0,3.75
18,7,1,27,3,3,1,3,5,2,2,1,2,5,1,4,1,4,5,5,2,13.25,2.5,2.5,3.75
4,25,0,22,0,3,3,4,0,1,1,0,1,5,0,4,0,0,4,4,1,12.75,2.5,0.5,2.0
21,6,1,20,3,3,1,3,5,1,2,1,1,4,1,4,1,5,4,4,2,12.0,2.5,2.25,3.5
20,5,1,26,3,3,1,4,4,2,1,2,1,3,1,4,1,5,4,4,2,13.0,2.75,2.25,3.5
17,7,1,23,4,3,1,3,3,1,1,2,2,3,2,4,1,4,5,5,2,12.0,2.75,1.75,3.75
10,18,1,9,3,1,2,4,3,3,3,3,2,2,2,3,3,2,3,3,1,9.5,2.5,3.0,2.75
19,11,1,27,3,3,1,3,4,1,2,2,1,3,1,5,1,4,5,4,2,14.5,2.5,2.25,3.5
13,22,1,11,3,1,2,2,2,3,3,3,2,2,2,3,2,2,3,2,1,11.75,2.0,2.75,2.25
6,26,0,8,1,2,5,2,2,4,5,4,4,1,4,1,3,2,1,1,0,10.0,2.5,3.75,1.75
6,28,0,8,1,2,4,2,2,3,5,4,5,1,4,1,3,1,1,1,0,10.5,2.25,3.5,1.5
0,28,0,3,1,2,4,2,1,3,4,5,4,2,5,1,3,1,1,1,0,7.75,2.25,3.25,1.5
12,15,0,10,2,1,2,2,3,3,3,3,2,3,2,2,3,2,2,2,1,9.25,1.75,3.0,2.25
5,30,0,2,1,2,4,1,1,3,5,4,4,1,4,1,3,1,1,1,0,9.25,2.0,3.25,1.5
14,19,0,14,2,1,3,2,2,3,3,3,2,3,3,3,3,3,2,3,1,11.75,2.0,2.75,2.75
1,28,0,3,1,2,5,2,1,3,4,4,4,1,5,1,3,2,1,1,0,8.0,2.5,3.0,1.75
1,24,0,19,3,3,2,3,4,5,4,2,4,5,1,2,1,0,1,0,0,11.0,2.75,3.75,0.5
19,1,1,17,4,3,1,4,3,1,1,1,1,5,2,5,1,5,4,5,2,9.5,3.0,1.5,3.75
10,23,1,13,2,1,2,2,3,3,2,2,3,2,3,2,3,3,3,3,1,11.75,1.75,2.5,3.0
1,30,0,6,1,2,5,2,2,3,4,5,4,1,4,1,3,2,2,1,0,9.25,2.5,3.5,2.0
18,7,1,22,5,3,1,5,5,1,2,1,1,3,1,4,1,5,4,5,2,12.0,3.5,2.25,3.75
2,29,0,1,1,2,4,1,1,3,5,5,5,1,5,1,3,1,2,1,0,8.0,2.0,3.5,1.75
13,23,0,13,2,1,3,2,3,3,2,2,3,3,3,3,2,2,2,3,1,12.25,2.0,2.5,2.25
11,19,1,10,2,1,3,2,2,2,3,3,3,3,3,2,2,3,3,3,1,10.25,2.0,2.5,2.75
0,30,0,1,1,2,5,2,2,3,5,5,5,1,5,1,3,2,2,1,0,7.75,2.5,3.75,2.0
5,27,0,7,1,2,5,2,2,4,4,4,4,2,5,1,3,2,2,1,0,9.75,2.5,3.5,2.0
10,21,1,11,3,1,3,2,2,3,2,3,3,2,2,2,2,3,2,2,1,10.75,2.25,2.5,2.25
11,23,0,26,5,3,0,3,0,5,0,1,3,3,1,2,0,4,0,0,2,15.0,2.75,1.5,1.0
0,28,0,4,1,2,4,2,1,3,4,4,4,1,4,1,3,2,2,1,0,8.0,2.25,3.0,2.0
9,17,1,9,3,1,2,4,2,3,2,3,3,2,3,3,2,2,3,2,1,9.0,2.5,2.5,2.25
8,30,0,4,1,2,4,1,1,3,5,4,5,2,4,1,3,2,1,1,0,10.5,2.0,3.25,1.75
19,16,0,9,4,3,3,5,1,3,5,1,2,0,0,3,1,0,5,5,0,11.0,3.75,2.5,2.75
13,15,0,12,3,1,3,2,3,2,3,2,3,2,2,3,3,2,3,2,1,10.0,2.25,2.5,2.5
0,30,0,7,1,2,4,2,1,3,5,5,5,1,4,1,3,2,1,1,0,9.25,2.25,3.5,1.75
14,17,0,12,5,3,4,5,5,5,3,2,5,5,2,0,1,3,4,4,1,10.75,4.25,3.75,3.0
12,19,0,9,2,1,3,2,3,2,3,3,2,2,3,3,3,2,2,3,1,10.0,2.0,2.75,2.5
13,3,0,22,1,3,4,1,0,4,1,2,0,0,0,2,0,3,5,1,1,9.5,2.25,1.75,2.25
1,27,0,6,1,2,4,1,1,4,5,5,5,1,5,1,3,1,2,1,0,8.5,2.0,3.75,1.75
3,10,0,14,3,3,4,4,5,2,1,5,4,3,4,3,1,2,4,3,2,6.75,3.5,3.25,2.5
2,25,0,4,1,2,4,1,1,3,4,5,5,1,5,1,3,2,2,1,0,7.75,2.0,3.25,2.0
5,27,0,1,1,2,5,1,1,3,4,5,4,1,4,1,3,2,1,1,0,8.25,2.25,3.25,1.75
13,15,1,12,2,1,2,2,2,3,3,2,2,2,2,3,2,2,2,3,1,10.25,1.75,2.5,2.25
10,11,0,12,3,3,5,1,4,2,1,2,0,1,4,1,1,1,5,1,2,8.25,3.0,2.25,2.0
12,19,1,10,2,1,2,4,3,3,2,2,3,2,3,3,2,3,2,2,1,10.5,2.25,2.5,2.25
8,29,0,6,1,2,5,2,2,3,4,5,4,1,5,1,3,2,1,1,0,10.75,2.5,3.5,1.75
21,3,1,23,5,3,1,3,5,2,1,2,1,4,2,5,1,5,5,5,2,12.0,3.0,2.5,4.0
21,3,1,0,1,3,3,4,3,4,0,0,3,2,4,1,1,1,3,2,2,6.25,2.75,1.75,1.75
5,25,0,6,1,2,5,1,1,4,4,4,5,1,4,1,3,1,1,1,0,9.0,2.25,3.25,1.5
16,10,1,26,3,3,1,3,5,2,2,1,1,4,1,4,1,4,5,5,2,13.25,2.5,2.5,3.75
15,14,1,19,3,3,1,3,3,1,1,2,1,4,1,5,1,4,4,5,2,12.25,2.5,1.75,3.5
16,9,1,27,5,3,1,5,4,1,1,2,1,4,2,5,1,4,4,5,2,13.25,3.5,2.0,3.5
10,25,1,14,3,1,2,2,2,3,2,3,2,3,2,3,2,2,2,3,1,12.5,2.0,2.5,2.25
2,26,0,4,1,2,5,2,1,4,4,5,4,2,5,1,3,2,2,1,0,8.0,2.5,3.5,2.0
19,12,1,17,5,3,1,4,4,2,1,1,2,4,2,5,1,5,5,5,2,12.25,3.25,2.0,4.0
7,21,0,23,1,3,2,4,4,3,4,0,4,3,2,2,0,1,2,5,0,12.75,2.5,2.75,2.0
21,11,1,20,3,3,1,4,5,1,2,1,1,3,2,5,1,5,5,4,2,13.25,2.75,2.25,3.75
3,29,0,7,1,2,4,1,1,4,5,4,4,1,5,1,3,1,1,1,0,9.75,2.0,3.5,1.5
2,29,0,1,1,2,5,2,1,4,5,5,4,2,4,1,3,2,1,1,0,8.0,2.5,3.75,1.75
3,28,0,5,1,2,5,2,2,3,5,5,5,2,4,1,3,1,2,1,0,9.0,2.5,3.75,1.75
5,27,0,8,1,2,4,1,2,4,4,5,4,1,5,1,3,2,1,1,0,10.0,2.0,3.75,1.75
12,21,0,14,2,1,3,2,2,3,2,3,2,2,2,2,2,2,2,3,1,11.75,2.0,2.5,2.25
13,25,1,10,2,1,2,4,3,2,3,2,2,2,3,2,2,3,3,2,1,12.25,2.25,2.5,2.5
12,19,1,9,3,1,2,4,3,2,2,2,2,2,3,2,2,2,2,2,1,10.25,2.5,2.25,2.0
17,12,1,16,3,3,1,5,3,1,2,2,2,4,1,5,1,5,5,5,2,11.5,3.0,2.0,4.0
17,9,1,18,3,3,1,4,3,1,2,2,1,3,1,5,1,4,4,5,2,11.25,2.75,2.0,3.5
5,27,0,8,1,2,4,2,2,4,4,4,4,2,5,1,3,2,2,1,0,10.0,2.25,3.5,2.0
11,21,0,14,3,1,2,4,2,2,2,2,3,3,3,3,2,3,2,2,1,11.5,2.5,2.0,2.25
0,27,0,0,4,3,3,4,2,3,2,0,0,3,3,5,0,5,4,5,2,6.75,3.5,1.75,3.5
6,28,0,0,1,2,4,2,2,3,4,4,5,1,4,1,3,2,2,1,0,8.5,2.25,3.25,2.0
13,19,1,12,2,1,2,4,3,3,3,2,2,2,3,2,3,3,2,3,1,11.25,2.25,2.75,2.75
13,18,0,9,3,1,2,4,3,3,3,3,2,2,3,2,3,2,2,2,1,10.0,2.5,3.0,2.25
2,30,0,19,3,3,0,0,1,0,2,3,0,0,1,5,1,2,3,1,0,12.75,1.5,1.5,1.75
11,23,0,13,3,1,2,2,3,2,2,2,3,2,3,3,2,2,2,2,1,11.75,2.0,2.25,2.0
1,29,0,4,1,2,5,2,1,3,5,4,5,2,5,1,3,1,2,1,0,8.5,2.5,3.25,1.75
14,25,1,12,3,1,2,4,2,2,2,2,2,3,2,3,3,2,3,3,1,13.0,2.5,2.0,2.75
3,30,0,8,1,2,4,2,1,4,4,5,4,1,5,1,3,2,1,1,0,10.25,2.25,3.5,1.75
9,23,0,14,3,1,3,2,2,3,2,3,2,2,3,2,2,2,2,2,1,11.5,2.25,2.5,2.0
